Year,Make,Model,Trim,Body,Transmission,Vin,State,Condition,Odometer,Color,Interior,Seller,MMR,SellingPrice,SaleDate
2015,Kia,Sorento,LX,SUV,Automatic,5xyktca69fg566472,CA,5,16639,White,Black,Kia Motors America Inc,20500,21500,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2015,Kia,Sorento,LX,SUV,Automatic,5xyktca69fg561319,CA,5,9393,White,Beige,Kia Motors America Inc,20800,21500,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2014,BMW,3 Series,328i SULEV,Sedan,Automatic,wba3c1c51ek116351,CA,45,1331,Gray,Black,Financial Services Remarketing (Lease),31900,30000,Thu Jan 15 2015 04:30:00 GMT-0800 (PST)
2015,Volvo,S60,T5,Sedan,Automatic,yv1612tb4f1310987,CA,41,14282,White,Black,Volvo Na Rep/World Omni,27500,27750,Thu Jan 29 2015 04:30:00 GMT-0800 (PST)
2014,BMW,6 Series Gran Coupe,650i,Sedan,Automatic,wba6b2c57ed129731,CA,43,2641,Gray,Black,Financial Services Remarketing (Lease),66000,67000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2015,Nissan,Altima,2.5 S,Sedan,Automatic,1n4al3ap1fn326013,CA,1,5554,Gray,Black,Enterprise Vehicle Exchange / Tra / Rental / Tulsa,15350,10900,Tue Dec 30 2014 12:00:00 GMT-0800 (PST)
2014,BMW,M5,Base,Sedan,Automatic,wbsfv9c51ed593089,CA,34,14943,Black,Black,The Hertz Corporation,69000,65000,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2014,Chevrolet,Cruze,1LT,Sedan,Automatic,1g1pc5sb2e7128460,CA,2,28617,Black,Black,Enterprise Vehicle Exchange / Tra / Rental / Tulsa,11900,9800,Tue Dec 16 2014 13:00:00 GMT-0800 (PST)
2014,Audi,A4,2.0T Premium Plus quattro,Sedan,Automatic,wauffafl3en030343,CA,42,9557,White,Black,Audi Mission Viejo,32100,32250,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2014,Chevrolet,Camaro,LT,Convertible,Automatic,2g1fb3d37e9218789,CA,3,4809,Red,Black,D/M Auto Sales Inc,26300,17500,Tue Jan 20 2015 04:00:00 GMT-0800 (PST)
2014,Audi,A6,3.0T Prestige quattro,Sedan,Automatic,wauhgafc0en062916,CA,48,14414,Black,Black,Desert Auto Trade,47300,49750,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2015,Kia,Optima,LX,Sedan,Automatic,5xxgm4a73fg353538,CA,48,2034,Red,Tan,Kia Motors Finance,15150,17700,Tue Dec 16 2014 12:00:00 GMT-0800 (PST)
2015,Ford,Fusion,SE,Sedan,Automatic,3fa6p0hdxfr145753,CA,2,5559,White,Beige,Enterprise Vehicle Exchange / Tra / Rental / Tulsa,15350,12000,Tue Jan 13 2015 12:00:00 GMT-0800 (PST)
2015,Kia,Sorento,LX,SUV,Automatic,5xyktca66fg561407,CA,5,14634,Silver,Black,Kia Motors America Inc,20600,21500,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2014,Chevrolet,Cruze,2LT,Sedan,Automatic,1g1pe5sbxe7120097,CA,NULL,15686,Blue,Black,Avis Rac/San Leandro,13900,10600,Tue Dec 16 2014 12:00:00 GMT-0800 (PST)
2015,Nissan,Altima,2.5 S,Sedan,Automatic,1n4al3ap5fc124223,CA,2,11398,Black,Black,Enterprise Vehicle Exchange / Tra / Rental / Tulsa,14750,14100,Tue Dec 23 2014 12:00:00 GMT-0800 (PST)
2015,Hyundai,Sonata,SE,Sedan,Automatic,5npe24af4fh001562,CA,NULL,8311,Red,NULL,Avis Tra,15200,4200,Tue Dec 16 2014 13:00:00 GMT-0800 (PST)
2014,Audi,Q5,2.0T Premium Plus quattro,SUV,Automatic,wa1lfafpxea085074,CA,49,7983,White,Black,Audi North Scottsdale,37100,40000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2014,Chevrolet,Camaro,LS,Coupe,Automatic,2g1fa1e39e9134494,CA,17,13441,Black,Black,Wells Fargo Dealer Services,17750,17000,Tue Dec 30 2014 15:00:00 GMT-0800 (PST)
2014,BMW,6 Series,650i,Convertible,Automatic,wbayp9c53ed169260,CA,34,8819,Black,Black,The Hertz Corporation,68000,67200,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2015,Chevrolet,Impala,LTZ,Sedan,Automatic,2g1165s30f9103921,CA,19,14538,Silver,Black,Enterprise Vehicle Exchange / Tra / Rental / Tulsa,24300,7200,Tue Jul 07 2015 09:30:00 GMT-0700 (PDT)
2014,BMW,5 Series,528i,Sedan,Automatic,wba5a5c51ed501631,CA,29,25969,Black,Black,Financial Services Remarketing (Lease),34200,30000,Tue Feb 03 2015 04:30:00 GMT-0800 (PST)
2014,Chevrolet,Camaro,LT,Convertible,Automatic,2g1fb3d31e9134662,CA,NULL,33450,Black,Black,Avis Rac/San Leandro,20100,14700,Tue Dec 16 2014 12:00:00 GMT-0800 (PST)
2015,Audi,A3,1.8 TFSI Premium,Sedan,Automatic,wauacgff7f1002327,CA,49,5826,Gray,Black,Audi North Scottsdale,24000,23750,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2014,BMW,6 Series,650i,Convertible,Automatic,wbayp9c57ed169262,CA,38,10736,Black,Black,The Hertz Corporation,67000,65000,Tue Jan 06 2015 12:30:00 GMT-0800 (PST)
2015,Hyundai,Sonata,SE,Sedan,Automatic,5npe24af4fh038482,CA,NULL,9281,Silver,Gray,Enterprise Vehicle Exchange / Tra / Rental / Tulsa,15150,8500,Tue Dec 16 2014 13:00:00 GMT-0800 (PST)
2015,Volvo,XC70,T6,Wagon,Automatic,yv4902nb3f1198103,CA,42,16506,Brown,Brown,Volvo Na Rep/World Omni,32100,32500,Thu Feb 26 2015 04:30:00 GMT-0800 (PST)
2015,Volvo,XC70,T6,Wagon,Automatic,yv4902nb3f1196951,CA,48,12725,Beige,Beige,Volvo Na Rep/World Omni,32300,32500,Thu Feb 12 2015 04:30:00 GMT-0800 (PST)
2014,BMW,X5,sDrive35i,SUV,Automatic,5uxkr2c52e0h33130,CA,NULL,11278,Gray,Black,Avis Rac/San Leandro,50400,34000,Tue Dec 16 2014 13:00:00 GMT-0800 (PST)
2014,Chevrolet,Camaro,LT,Coupe,Automatic,2g1fb1e35e9238302,CA,42,11874,Gray,Black,Midway Hfc Fleet/Ars,22200,19500,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2014,Chevrolet,Cruze,1LT,Sedan,Automatic,1g1pc5sb2e7105471,CA,42,37888,Gray,Black,Enterprise Vehicle Exchange/Orange,11600,11500,Tue Dec 30 2014 12:30:00 GMT-0800 (PST)
2014,Audi,SQ5,3.0T Premium Plus quattro,SUV,Automatic,wa1cgafp4ea030312,CA,42,9606,White,Black,Audi Of Downtown L A,48600,47500,Thu Jan 29 2015 04:00:00 GMT-0800 (PST)
2015,Kia,Sorento,LX,SUV,Automatic,5xyktca60fg565226,CA,5,13757,Red,Black,Kia Motors America Inc,20600,20750,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2014,Audi,S5,Premium Plus quattro,Coupe,Automatic,waucgafrxea001689,CA,38,5875,Black,Black,Fratelli Investment Group,46500,44500,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2015,Kia,Sorento,LX,SUV,Automatic,5xyktca68fg559481,CA,44,12862,Gray,Black,Kia Motors America Inc,20700,21000,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2014,Buick,Verano,Convenience Group,Sedan,NULL,1g4pr5sk8e4175320,CA,2,19531,Gray,Gray,Enterprise Vehicle Exchange / Tra / Rental / Tulsa,15000,9200,Tue Jan 06 2015 04:00:00 GMT-0800 (PST)
2015,Chevrolet,Suburban,LTZ,SUV,Automatic,1gnskkkc3fr187901,CA,45,11426,Black,Black,Midway Hfc Fleet/Ars,57300,59900,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2014,BMW,3 Series,328i SULEV,Sedan,Automatic,wba3c1c50ek108497,CA,5,111,Black,NULL,Financial Services Remarketing (Lease),32200,30500,Thu Jan 15 2015 04:30:00 GMT-0800 (PST)
2014,BMW,M5,Base,Sedan,Automatic,wbsfv9c56ed593069,CA,38,16360,Black,Black,The Hertz Corporation,65000,64250,Tue Jan 13 2015 04:30:00 GMT-0800 (PST)
2014,BMW,3 Series,328i SULEV,Sedan,Automatic,wba3c1c58ek106688,CA,45,9027,White,Black,Financial Services Remarketing (Lease),30200,27500,Thu Jan 15 2015 04:30:00 GMT-0800 (PST)
2014,Cadillac,ELR,Base,Coupe,Automatic,1g6rr1e48eu601450,CA,47,4436,Gray,Black,Rogue Cu,49400,44000,Wed Feb 04 2015 04:30:00 GMT-0800 (PST)
2015,Hyundai,Sonata,SE,Sedan,Automatic,5npe24af2fh014813,CA,NULL,9208,Silver,Gray,Enterprise Vehicle Exchange / Tra / Rental / Tulsa,15700,10000,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2014,BMW,6 Series,650i,Convertible,Automatic,wbayp9c50ed169281,CA,32,13205,White,Black,The Hertz Corporation,66000,65000,Tue Jan 06 2015 04:30:00 GMT-0800 (PST)
2015,Volvo,V60,T5,Wagon,Automatic,yv1612sb9f1202043,CA,41,11846,White,Beige,Volvo Na Rep/World Omni,31300,30000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
